PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;1783;Westland;Zuid-Holland;So;3/4;Algemeen bijzonder;38209;0;0;1;0;5;2;7;8;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20161001;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;1783;Westland;Zuid-Holland;Vso;3/4;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;2;10;11;9;28;9;9;12;0;0;0;0;0;0;90
20161001;00PZ;02;Herman Broerenschool;2612SP;DELFT; 503;Delft;Zuid-Holland;So;3/4;Algemeen bijzonder;38209;0;0;2;4;6;6;7;4;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20161001;00RK;00;De Stroom;3317NH;DORDRECHT; 505;Dordrecht;Zuid-Holland;Vso;3/4;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;0;4;13;15;9;12;6;9;2;0;0;0;0;0;0;70
20161001;00RL;00;Antoniusschool;1901ME;CASTRICUM; 383;Castricum;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;0;0;0;0;4;13;18;22;8;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20161001;00RL;02;St. Antonius;1784NZ;DEN HELDER; 400;Den Helder;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20161001;00RL;05;St. Antonius;1624CH;HOORN NH; 405;Hoorn;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20161001;00RL;06;St. Antonius;2111HK;AERDENHOUT; 377;Bloemendaal;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;10;16;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
20161001;00RL;10;Antoniusschool;1945NC;BEVERWIJK; 375;Beverwijk;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;7;15;9;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
20161001;00RL;11;Antoniusschool;1742AB;SCHAGEN; 441;Schagen;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;3;9;6;9;13;8;14;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;76
20161001;00RL;12;Antoniusschool;1701BA;HEERHUGOWAARD; 398;Heerhugowaard;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;5;5;2;5;4;11;13;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;63
20161001;00RL;13;Antoniusschool;1971GZ;IJMUIDEN; 453;Velsen;Noord-Holland;So;3/4;Samenwerking PC, RK;41008;0;5;4;9;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
